   43.0589828491   29.0095634460
   41.0617218018   28.9048900604
   42.8496398926   33.0040016174
   48.8414154053   33.3180160522
   49.2601013184   25.3290596008
   43.2683258057   25.0150451660
   41.0617218018   28.9048900604


   32.0000000000  164.0000000000
    1.0982822180   68.8945388794
   21.8894596100  -28.9202842712
   88.0292358398   30.6323184967
   88.0292358398   30.6323184967
   46.0548706055   29.1665706635

   71.9160232544   84.8419799805
   70.5267105103   83.4032974243
   69.0386657715   87.6206130981
   73.2066192627   91.9366531372
   78.9613342285   86.3793869019
   74.7933807373   82.0633468628
   70.5267105103   83.4032974243


   74.0000000000   87.0000000000
   74.0000000000   87.0000000000

  143.0000000000   48.0000000000
  113.2742004395   74.7652282715
  112.2816543579   74.6433563232
  112.2816543579   74.6433563232
  115.0555496216  127.5705718994

   42.0000000000   31.0000000000
   42.0000000000   11.0000000000
   22.0000000000   11.0000000000
   22.0000000000   31.0000000000
   42.0000000000   31.0000000000


  131.0000000000  152.0000000000
  131.0000000000  132.0000000000
  111.0000000000  132.0000000000
  111.0000000000  152.0000000000
  131.0000000000  152.0000000000


  188.0000000000  151.0000000000
  188.0000000000  131.0000000000
  168.0000000000  131.0000000000
  168.0000000000  151.0000000000
  188.0000000000  151.0000000000


